"","Lineage_Name","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"584","TFUS04",1,1,1,1,1,1
"585","TFUS05",1,1,1,1,1,1
"586","TFUS07",1,1,1,1,1,1
"587","TFUS12",1,1,1,1,1,1
"588","THAAET01",1,1,1,1,1,1
"589","THAAET02",1,1,1,1,1,1
"590","THAAMA01",1,1,1,1,1,1
"591","THACAE03",1,1,1,1,1,1
"592","THACAE04",1,1,1,1,1,1
"593","THACAE06",1,1,1,1,1,1
"594","THAFAN01",1,1,1,1,1,1
"595","THAFUR01",1,1,1,1,1,1
"596","THAGLA01",1,1,1,1,1,1
"597","THAMB04",1,1,1,1,1,1
"598","THAMB05",1,1,1,1,1,1
"599","THAMB06",1,1,1,1,1,1
"600","THAMB07",1,1,1,1,1,1
"601","THAMB10",1,1,1,1,1,1
"602","THANIG01",1,1,1,1,1,1
"603","THANIG02",1,1,1,1,1,1
"604","THASAT03",1,1,1,1,1,1
"605","THASAT05",1,1,1,1,1,1
"606","THATOR01",1,1,1,1,1,1
"607","TOLFLA01",1,1,1,1,1,1
"608","TOLFLA02",1,1,1,1,1,1
"609","TRMB",1,1,1,1,1,1
"610","TRMEL01",1,1,1,1,1,1
"611","TRMUS03",1,1,1,1,1,1
"612","TROAED03",1,1,1,1,1,1
"613","TROAED04",1,1,1,1,1,1
"614","TROAED05",1,1,1,1,1,1
"615","TROAED07",1,1,1,1,1,1
"616","TROAED08",1,1,1,1,1,1
"617","TROAED09",1,1,1,1,1,1
"618","TROAED10",1,1,1,1,1,1
"619","TROAED11",1,1,1,1,1,1
"620","TROAED14",1,1,1,1,1,1
"621","TROAED16",1,1,1,1,1,1
"622","TROAED17",1,1,1,1,1,1
