"","Lineage_Name","Lineage_Genera","n_sites","n_bird_individuals","n_status","riqueza","perlocation","Host_Status","Perlocation"
"110","CYCYAN01","Parahaemoproteus",2,4,1,4,0.0317460317460317,"R",0.0128205128205128
"111","CYPHIR03","Parahaemoproteus",2,11,1,1,0.0317460317460317,"R",0.0128205128205128
"112","DENAUT01","Haemoproteus",2,2,2,2,0.0317460317460317,"R_M",0.0128205128205128
"113","DENFUL01","Parahaemoproteus",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"114","DENMER01","Plasmodium",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"115","DENMER02","Plasmodium",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"116","DENVID01","Plasmodium",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"117","DIGCYA02","Plasmodium",2,2,1,1,0.0317460317460317,"R",0.0128205128205128
"118","DIGCYA03","Haemoproteus",2,5,1,1,0.0317460317460317,"R",0.0128205128205128
"119","DYSMEN04","Plasmodium",2,2,1,1,0.0317460317460317,"R",0.0128205128205128
"120","EMPOBE02","Parahaemoproteus",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"121","EUMIN01","Parahaemoproteus",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"122","FOCOL01","Plasmodium",2,3,1,1,0.0317460317460317,"R",0.0128205128205128
"123","FOLEU01","Parahaemoproteus",2,2,1,1,0.0317460317460317,"R",0.0128205128205128
"124","FOMEL01","Plasmodium",2,3,1,1,0.0317460317460317,"R",0.0128205128205128
"125","FORCOL06","Plasmodium",2,5,1,1,0.0317460317460317,"R",0.0128205128205128
"126","GYMSAL01","Parahaemoproteus",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"127","HAECOL1","Haemoproteus",2,2,1,1,0.0317460317460317,"R",0.0128205128205128
"128","HEMATR01","Haemoproteus",2,3,1,3,0.0317460317460317,"R",0.0128205128205128
"129","HESEL01","Plasmodium",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"130","HYPSTR07","Plasmodium",2,3,1,3,0.0317460317460317,"R",0.0128205128205128
"131","ISLHAU01","Plasmodium",2,2,1,1,0.0317460317460317,"R",0.0128205128205128
