"","Lineage_Name","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount","parasiteGenus","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes","Host_Status"
"285","LEPNAT02",1,5,5491.34304895523,3489459.00228235,3195.86668496148,3193.62547630441,-30.205564,-1.35,1389.17787680017,-57.495736,-39.841985,4,"Plasmodium",1,1,1,1,1,1,"R"
"286","LEPNAT03",1,1,0,0,NA,0,-5.216667,-5.216667,0,-56.916667,-56.916667,1,"Plasmodium",1,1,1,1,1,1,"R"
"287","LEPRUF02",5,2,339.068820926323,0,339.068820926323,199.726255519453,-16.2559998,-14.4510092,201.209791413561,-43.5630135,-41.011001,2,"Haemoproteus",5,5,1,3,3,3,"R"
"288","LEPVIL01",1,2,1145.42768539161,0,1145.42768539161,903.122231280723,-14.50911,-6.344364,507.675587401579,-43.59298,-37.152527,2,"Plasmodium",1,1,1,1,1,1,"R"
"289","LERUF01",2,1,0,0,NA,0,-15.5211053,-15.5211053,0,-47.552045,-47.552045,1,"Haemoproteus",2,2,1,2,1,1,"R"
"290","LEVER03",2,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Plasmodium",2,6,1,2,2,2,"R"
"291","LinhagemNova",1,2,139.157388374566,0,139.157388374566,118.018585286793,-14.866667,-13.8,53.8784847045697,-59.683333,-59,1,"Haemoproteus",1,1,1,1,1,1,"R"
"292","LIPVOC01",1,1,0,0,NA,0,-13.8,-13.8,0,-59.683333,-59.683333,1,"Plasmodium",1,1,1,1,1,1,"R"
"293","MACPYR01",2,1,0,0,0,0,-9.1,-9.1,0,-64.466667,-64.466667,1,"Plasmodium",2,5,1,5,2,2,"R"
"294","MACPYR02",1,5,1917.62000201647,435108.668225206,1376.16869171984,957.45323925614,-21.1658279,-12.5143471,731.857579181601,-47.45862,-38.1715148,4,"Plasmodium",1,1,1,1,1,1,"R"
"295","MALRUF01",1,1,0,0,NA,0,-16.25,-16.25,0,-56.366667,-56.366667,1,"Plasmodium",1,1,1,1,1,1,"R"
"296","MASTR01",5,1,0,0,0,0,4.616667,4.616667,0,-73.716667,-73.716667,1,"Plasmodium",5,7,1,3,3,2,"R"
"297","MESCAY01",1,1,0,0,0,0,-1.35,-1.35,0,-56.366667,-56.366667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"298","METYR01",1,1,0,0,0,0,-3.7,-3.7,0,-46.75,-46.75,1,"Leucocytozoon",1,1,1,1,1,1,"R"
"299","MICGIL01",1,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Haemoproteus",1,1,1,1,1,1,"R"
"300","MICMIN01",1,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Plasmodium",1,1,1,1,1,1,"R"
"301","MICMIN02",1,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Haemoproteus",1,1,1,1,1,1,"R"
"302","MICMIN03",1,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Haemoproteus",1,1,1,1,1,1,"R"
